Word,Attribute
1996,Age
2001,Age
2008,Age
2009,Age
2011,Age
2012,Age
2013,Age
2014,Age
2015,Age
2016,Age
2017,Age
2018,Age
2019,Age
2020,Age
2022,Age
'14,Age
'15,Age
'16,Age
'19,Age
4wd,Build
4ws,Build
acceleration,Performance
air,Comfort
automatic,Build
awd,Build
bad,Issues
base,Price/Purchase
big,Size
black,Aesthetic
brake,Safety
break,Safety
build,Build
buy,Price/Purchase
camera,Luxury
care,Emotion
cheap,Build
color,Aesthetic
cost,Price/Purchase
crash,Safety
cvt,Build
cyl,Build
cylinder,Build
dash,Build
daughter,Friends & Family
deal,Price/Purchase
dealer,Price/Purchase
design,Aesthetic
diesel,Build
discount,Price/Purchase
door,Build
drive,Luxury
ecoboost,Luxury
economy,Price/Purchase
engine,Build
engineer,Build
enjoy,Emotion
epa,Build
exhaust,Build
expensive,Price/Purchase
family,Friends & Family
fast,Performance
faster,Performance
feel,Condition
friend,Friends & Family
fuel,Build
fun,Emotion
gas,Build
gear,Build
gray,Aesthetic
handling,Build
happy,Emotion
heat,Comfort
huge,Size
hybrid,Build
impressive,Emotion
improvement,Condition
interior,Aesthetic
issue,Issues
kid,Friends & Family
lease,Price/Purchase
leather,Luxury
little,Size
look,Aesthetic
luxury,Luxury
manual,Build
material,Build
midsize,Size
mid-sized,Size
mile,Condition
mileage,Condition
mirror,Build
money,Price/Purchase
mpg,Performance
mph,Performance
msrp,Price/Purchase
new,Condition
noise,Issues
offer,Price/Purchase
oil,Build
old,Age
passenger,Friends & Family
pay,Price/Purchase
pearl,Aesthetic
performance,Performance
plastic,Build
poor,Issues
power,Performance
premium,Luxury
pretty,Aesthetic
price,Price/Purchase
problem,Issues
quality,Performance
quiet,Comfort
radio,Comfort
rear,Build
recall,Issues
red,Aesthetic
reliability,Performance
repair,Issues
rim,Build
room,Comfort
safety,Safety
sale,Price/Purchase
see,Aesthetic
sell,Price/Purchase
sh-awd,Build
short,Size
size,Size
slow,Issues
small,Size
son,Friends & Family
sound,Issues
space,Comfort
speed,Performance
spend,Price/Purchase
sport,Luxury
sporty,Aesthetic
steering,Build
style,Aesthetic
sunroof,Luxury
suspension,Build
suv,Size
system,Build
tank,Build
tech,Build
time,Age
tire,Build
torque,Performance
transmission,Build
trim,Aesthetic
trunk,Build
turbo,Luxury
use,Condition
v6,Build
value,Price/Purchase
want,Emotion
warranty,Price/Purchase
wheel,Build
wife,Friends & Family
window,Build
year,Age
