,honda,ford,infiniti,kia,toyota,acura,hyundai,mazda,chevrolet,volkswagen
honda,2833,841,1207,650,982,976,612,661,473,450
ford,841,2342,518,477,575,707,455,399,305,270
infiniti,1207,518,2114,1266,430,807,399,386,222,264
kia,650,477,1266,1724,404,210,524,395,277,242
toyota,982,575,430,404,1503,316,430,351,312,243
acura,976,707,807,210,316,1437,242,227,127,236
hyundai,612,455,399,524,430,242,1241,298,276,261
mazda,661,399,386,395,351,227,298,1136,218,228
chevrolet,473,305,222,277,312,127,276,218,1046,195
volkswagen,450,270,264,242,243,236,261,228,195,810
