Unnamed: 0,honda,ford,infiniti,kia,toyota,acura,hyundai,mazda,chevrolet,volkswagen
honda,1.0,0.99,1.57,1.04,1.79,1.87,1.35,1.6,1.24,1.53
ford,0.99,1.0,0.81,0.92,1.27,1.63,1.22,1.17,0.97,1.11
infiniti,1.57,0.81,1.0,2.7,1.05,2.07,1.18,1.25,0.78,1.2
kia,1.04,0.92,2.7,1.0,1.21,0.66,1.91,1.57,1.2,1.35
toyota,1.79,1.27,1.05,1.21,1.0,1.14,1.79,1.6,1.54,1.55
acura,1.87,1.63,2.07,0.66,1.14,1.0,1.06,1.08,0.66,1.58
hyundai,1.35,1.22,1.18,1.91,1.79,1.06,1.0,1.64,1.65,2.02
mazda,1.6,1.17,1.25,1.57,1.6,1.08,1.64,1.0,1.43,1.93
chevrolet,1.24,0.97,0.78,1.2,1.54,0.66,1.65,1.43,1.0,1.79
volkswagen,1.53,1.11,1.2,1.35,1.55,1.58,2.02,1.93,1.79,1.0
